mainshock,control_type,control_time,mag_threshold,time_window_days,radius_km,n_total,n_pre,n_post,pre_rate,post_rate,rate_ratio
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,,7.0,50.0,2060,123,1937,17.571428571428573,276.7142857142857,15.747967479674795
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,,7.0,50.0,23,15,8,2.142857142857143,1.1428571428571428,0.5333333333333333
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,,30.0,50.0,3207,152,3055,5.066666666666666,101.83333333333333,20.098684210526315
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,,30.0,50.0,2258,26,2232,0.8666666666666667,74.4,85.84615384615385
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,,60.0,50.0,3650,177,3473,2.95,57.88333333333333,19.62146892655367
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,,60.0,50.0,3423,74,3349,1.2333333333333334,55.81666666666667,45.25675675675676
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,,90.0,50.0,3910,220,3690,2.4444444444444446,41.0,16.77272727272727
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,,90.0,50.0,3817,143,3674,1.5888888888888888,40.82222222222222,25.692307692307693
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.2,7.0,50.0,1998,115,1883,16.428571428571427,269.0,16.37391304347826
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.2,7.0,50.0,22,14,8,2.0,1.1428571428571428,0.5714285714285714
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.2,30.0,50.0,3084,142,2942,4.733333333333333,98.06666666666666,20.718309859154928
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.2,30.0,50.0,2182,22,2160,0.7333333333333333,72.0,98.18181818181819
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.2,60.0,50.0,3490,163,3327,2.716666666666667,55.45,20.411042944785276
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.2,60.0,50.0,3284,60,3224,1.0,53.733333333333334,53.733333333333334
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.2,90.0,50.0,3722,194,3528,2.1555555555555554,39.2,18.18556701030928
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.2,90.0,50.0,3631,116,3515,1.288888888888889,39.05555555555556,30.301724137931032
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.5,7.0,50.0,1724,81,1643,11.571428571428571,234.71428571428572,20.283950617283953
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.5,7.0,50.0,14,7,7,1.0,1.0,1.0
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.5,30.0,50.0,2526,98,2428,3.2666666666666666,80.93333333333334,24.775510204081634
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.5,30.0,50.0,1858,9,1849,0.3,61.63333333333333,205.44444444444446
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.5,60.0,50.0,2813,111,2702,1.85,45.03333333333333,24.34234234234234
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.5,60.0,50.0,2665,34,2631,0.5666666666666667,43.85,77.38235294117648
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,1.5,90.0,50.0,2978,128,2850,1.4222222222222223,31.666666666666668,22.265625
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,1.5,90.0,50.0,2905,68,2837,0.7555555555555555,31.522222222222222,41.720588235294116
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,2.0,7.0,50.0,953,29,924,4.142857142857143,132.0,31.86206896551724
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,2.0,7.0,50.0,8,4,4,0.5714285714285714,0.5714285714285714,1.0
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,2.0,30.0,50.0,1258,39,1219,1.3,40.63333333333333,31.256410256410255
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,2.0,30.0,50.0,1004,4,1000,0.13333333333333333,33.333333333333336,250.00000000000003
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,2.0,60.0,50.0,1370,44,1326,0.7333333333333333,22.1,30.13636363636364
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,2.0,60.0,50.0,1322,17,1305,0.2833333333333333,21.75,76.76470588235294
M1,shifted_1,2025-11-07 06:17:27.950488309+00:00,2.0,90.0,50.0,1432,52,1380,0.5777777777777777,15.333333333333334,26.538461538461544
M1,shifted_2,2025-10-16 16:11:09.615803521+00:00,2.0,90.0,50.0,1401,31,1370,0.34444444444444444,15.222222222222221,44.19354838709677
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,,7.0,50.0,386,222,164,31.714285714285715,23.428571428571427,0.7387387387387386
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,,7.0,50.0,915,7,908,1.0,129.71428571428572,129.71428571428572
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,,30.0,50.0,1999,1448,551,48.266666666666666,18.366666666666667,0.3805248618784531
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,,30.0,50.0,1706,59,1647,1.9666666666666666,54.9,27.915254237288135
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,,60.0,50.0,2291,1497,794,24.95,13.233333333333333,0.5303941215764862
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,,60.0,50.0,2166,73,2093,1.2166666666666666,34.88333333333333,28.67123287671233
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,,90.0,50.0,2463,1513,950,16.81111111111111,10.555555555555555,0.6278916060806345
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,,90.0,50.0,2363,89,2274,0.9888888888888889,25.266666666666666,25.550561797752806
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.2,7.0,50.0,233,147,86,21.0,12.285714285714286,0.5850340136054422
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.2,7.0,50.0,697,1,696,0.14285714285714285,99.42857142857143,696.0
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.2,30.0,50.0,1365,1044,321,34.8,10.7,0.3074712643678161
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.2,30.0,50.0,1185,30,1155,1.0,38.5,38.5
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.2,60.0,50.0,1545,1073,472,17.883333333333333,7.866666666666666,0.43988816402609504
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.2,60.0,50.0,1466,40,1426,0.6666666666666666,23.766666666666666,35.65
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.2,90.0,50.0,1645,1082,563,12.022222222222222,6.2555555555555555,0.5203327171903882
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.2,90.0,50.0,1586,49,1537,0.5444444444444444,17.07777777777778,31.367346938775515
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.5,7.0,50.0,136,86,50,12.285714285714286,7.142857142857143,0.5813953488372093
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.5,7.0,50.0,456,1,455,0.14285714285714285,65.0,455.0
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.5,30.0,50.0,847,669,178,22.3,5.933333333333334,0.26606875934230195
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.5,30.0,50.0,751,18,733,0.6,24.433333333333334,40.72222222222222
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.5,60.0,50.0,955,686,269,11.433333333333334,4.483333333333333,0.39212827988338195
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.5,60.0,50.0,902,21,881,0.35,14.683333333333334,41.952380952380956
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,1.5,90.0,50.0,1012,690,322,7.666666666666667,3.577777777777778,0.4666666666666667
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,1.5,90.0,50.0,979,26,953,0.28888888888888886,10.588888888888889,36.65384615384615
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,2.0,7.0,50.0,58,40,18,5.714285714285714,2.5714285714285716,0.45
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,2.0,7.0,50.0,230,0,230,0.0,32.857142857142854,
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,2.0,30.0,50.0,406,329,77,10.966666666666667,2.566666666666667,0.23404255319148937
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,2.0,30.0,50.0,361,6,355,0.2,11.833333333333334,59.166666666666664
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,2.0,60.0,50.0,444,335,109,5.583333333333333,1.8166666666666667,0.32537313432835824
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,2.0,60.0,50.0,425,6,419,0.1,6.983333333333333,69.83333333333333
M2,shifted_1,2025-12-26 08:25:03.967527822+00:00,2.0,90.0,50.0,463,335,128,3.7222222222222223,1.4222222222222223,0.382089552238806
M2,shifted_2,2025-12-06 10:36:12.139679633+00:00,2.0,90.0,50.0,452,8,444,0.08888888888888889,4.933333333333334,55.5
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,,7.0,50.0,113,62,51,8.857142857142858,7.285714285714286,0.8225806451612903
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,,7.0,50.0,48,11,37,1.5714285714285714,5.285714285714286,3.3636363636363638
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,,30.0,50.0,682,421,261,14.033333333333333,8.7,0.6199524940617577
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,,30.0,50.0,1404,54,1350,1.8,45.0,25.0
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,,60.0,50.0,1987,1558,429,25.966666666666665,7.15,0.27535301668806167
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,,60.0,50.0,1702,78,1624,1.3,27.066666666666666,20.82051282051282
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,,90.0,50.0,2197,1610,587,17.88888888888889,6.522222222222222,0.36459627329192545
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,,90.0,50.0,1999,117,1882,1.3,20.91111111111111,16.085470085470085
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.2,7.0,50.0,100,58,42,8.285714285714286,6.0,0.7241379310344827
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.2,7.0,50.0,46,10,36,1.4285714285714286,5.142857142857143,3.6
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.2,30.0,50.0,609,400,209,13.333333333333334,6.966666666666667,0.5225
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.2,30.0,50.0,1360,49,1311,1.6333333333333333,43.7,26.75510204081633
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.2,60.0,50.0,1868,1509,359,25.15,5.983333333333333,0.2379058979456594
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.2,60.0,50.0,1634,70,1564,1.1666666666666667,26.066666666666666,22.34285714285714
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.2,90.0,50.0,2060,1554,506,17.266666666666666,5.622222222222222,0.3256113256113256
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.2,90.0,50.0,1870,97,1773,1.0777777777777777,19.7,18.278350515463917
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.5,7.0,50.0,80,48,32,6.857142857142857,4.571428571428571,0.6666666666666666
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.5,7.0,50.0,42,8,34,1.1428571428571428,4.857142857142857,4.25
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.5,30.0,50.0,463,305,158,10.166666666666666,5.266666666666667,0.5180327868852459
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.5,30.0,50.0,1133,36,1097,1.2,36.56666666666667,30.472222222222225
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.5,60.0,50.0,1511,1245,266,20.75,4.433333333333334,0.21365461847389558
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.5,60.0,50.0,1332,47,1285,0.7833333333333333,21.416666666666668,27.340425531914896
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,1.5,90.0,50.0,1646,1276,370,14.177777777777777,4.111111111111111,0.2899686520376175
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,1.5,90.0,50.0,1506,66,1440,0.7333333333333333,16.0,21.81818181818182
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,2.0,7.0,50.0,34,23,11,3.2857142857142856,1.5714285714285714,0.4782608695652174
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,2.0,7.0,50.0,20,4,16,0.5714285714285714,2.2857142857142856,4.0
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,2.0,30.0,50.0,194,137,57,4.566666666666666,1.9,0.41605839416058393
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,2.0,30.0,50.0,610,12,598,0.4,19.933333333333334,49.83333333333333
M3,shifted_1,2025-12-21 07:52:58.050000+00:00,2.0,60.0,50.0,764,665,99,11.083333333333334,1.65,0.1488721804511278
M3,shifted_2,2025-11-01 12:11:41.785075020+00:00,2.0,60.0,50.0,693,16,677,0.26666666666666666,11.283333333333333,42.3125
