node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude
0,-30.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.8737325045117,35.37851928178576
1,-29.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.86272738589399,35.37854901694201
2,-28.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.85172225931575,35.37857774414393
3,-27.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.84071712505143,35.37860546338977
4,-26.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.82971198337553,35.378632174677804
5,-25.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.81870683456256,35.37865787800639
6,-24.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.80770167888697,35.37868257337396
7,-23.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.79669651662329,35.378706260779
8,-22.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.785691348046,35.37872894022004
9,-21.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.77468617342957,35.3787506116957
10,-20.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.76368099304854,35.37877127520463
11,-19.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.75267580717734,35.378790930745566
12,-18.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.74167061609053,35.378809578317316
13,-17.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.73066542006259,35.378827217918705
14,-16.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.71966021936801,35.37884384954868
15,-15.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.7086550142813,35.378859473206205
16,-14.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.69764980507696,35.37887408889029
17,-13.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.68664459202951,35.3788876966001
18,-12.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.67563937541343,35.378900296334756
19,-11.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.66463415550324,35.37891188809348
20,-10.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.65362893257344,35.37892247187556
21,-9.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.64262370689856,35.37893204768038
22,-8.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.63161847875307,35.3789406155073
23,-7.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.62061324841149,35.378948175355845
24,-6.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.60960801614836,35.37895472722551
25,-5.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.59860278223815,35.37896027111591
26,-4.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.58759754695538,35.378964807026705
27,-3.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.57659231057457,35.37896833495761
28,-2.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.56558707337022,35.37897085490842
29,-1.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.55458183561689,35.37897236687895
30,0.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.54357659758901,35.378972870869156
31,1.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.53257135956113,35.37897236687895
32,2.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.5215661218078,35.37897085490842
33,3.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.51056088460345,35.37896833495761
34,4.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.49955564822262,35.378964807026705
35,5.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.48855041293987,35.37896027111591
36,6.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.47754517902966,35.37895472722551
37,7.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.46653994676653,35.378948175355845
38,8.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.45553471642495,35.3789406155073
39,9.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.44452948827946,35.37893204768038
40,10.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.43352426260458,35.37892247187556
41,11.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.42251903967478,35.37891188809348
42,12.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.4115138197646,35.378900296334756
43,13.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.40050860314851,35.3788876966001
44,14.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.38950339010105,35.37887408889029
45,15.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.37849818089671,35.378859473206205
46,16.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.36749297581001,35.37884384954868
47,17.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.35648777511543,35.378827217918705
48,18.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.34548257908749,35.378809578317316
49,19.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.33447738800068,35.378790930745566
50,20.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.32347220212948,35.37877127520463
51,21.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.31246702174845,35.3787506116957
52,22.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.30146184713202,35.37872894022004
53,23.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.29045667855473,35.378706260779
54,24.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.27945151629105,35.37868257337396
55,25.0,-38.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.26844636061546,35.37865787800639
56,-30.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.87376933048756,35.38753246150872
57,-29.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.86276298438074,35.387562202111596
58,-28.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.85175663030894,35.38759093457551
59,-27.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.84075026854684,35.38761865889872
60,-26.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.82974389936903,35.38764537507951
61,-25.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.8187375230502,35.387671083116224
62,-24.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.80773113986496,35.38769578300729
63,-23.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.79672475008798,35.387719474751194
64,-22.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.78571835399384,35.387742158346484
65,-21.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.77471195185726,35.38776383379176
66,-20.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.76370554395284,35.387784501085676
67,-19.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.75269913055524,35.38780416022697
68,-18.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.74169271193911,35.38782281121444
69,-17.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.73068628837913,35.38784045404694
70,-16.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.71967986014991,35.38785708872338
71,-15.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.70867342752614,35.38787271524272
72,-14.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.69766699078244,35.387887333604034
73,-13.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.6866605501935,35.387900943806386
74,-12.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.67565410603396,35.387913545848974
75,-11.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.66464765857849,35.38792513973101
76,-10.0,-37.0,0,0,,,,,,insufficient,0,,pre_separator,5.0,-117.65364120810172,35.38793572545176
